Organization Name,address1,address2,city,State,zip,ServiceSummary
Volunteers of America - Central Indiana,34 W JEFFERSON ST,,FRANKLIN,IN,46131,Rapid Re-Housing
Franklin Township Trustee,1174 N MAIN ST,,FRANKLIN,IN,46131,Transitional Housing
Youth Connections,1195 N MORTON ST,,FRANKLIN,IN,46131,Emergency Shelter
Room in the Inn Simpson County,P.O. Box 1202,,Franklin,KY,42135,Emergency Shelter
Baptist Children's Home (Macon),2127 Iotia Church Road,,Franklin,NC,28734,Transitional Housing
Venango County Human Services,190 SugarVally Lane,,Franklin,PA,16323,Emergency Shelter
Venango County Human Services,808 Elk Street,,Franklin,PA,16323,Emergency Shelter
Franklin Housing Authority,200 Spring St.,,Franklin,TN,37064,Transitional Housing
Franklin Community Developement,200 Devrow Ct,,Franklin,TN,37064,Transitional Housing
Franklin Community Developement,200 Devrow Court,,Franklin,TN,37064,Emergency Shelter
Franklin Community Developement,254 Natchez Street,,Franklin,TN,37064,Permanent Supportive Housing
Broken But Not Destroyed,995 Lutz Street,,Franklin Square,NY,11010,Emergency Shelter
WestCare,3636,,Fre,CA,93725,Transitional Housing
Frederick Rescue Mission,419 W SOUTH ST,,FREDERICK,MD,21701,Transitional Housing
Advocate for Homeless Families Inc.,216 ABRECHT PL,,FREDERICK,MD,21701,Rapid Re-Housing
Religious Coalition for Emergency Human Needs Inc.,27 DEGRANGE ST,,FREDERICK,MD,21701,Emergency Shelter
Mental Hygiene Administration,22 S MARKET ST,,FREDERICK,MD,21701,Permanent Supportive Housing
Friends for Neighborhood Progress Inc.,100 S MARKET ST,,FREDERICK,MD,21701,Permanent Supportive Housing
Frederick Rescue Mission,419 W SOUTH ST,,FREDERICK,MD,21701,Transitional Housing
City of Frederick/Frederick Community Action Agency,301 S MARKET ST,,FREDERICK,MD,21701,Permanent Supportive Housing
Advocate for Homeless Families Inc.,216 ABRECHT PL,,FREDERICK,MD,21701,Transitional Housing
Frederick Rescue Mission,731 North Market Street,,Frederick,MD,21701,Emergency Shelter
City of Frederick/Frederick Community Action Agency,100 S MARKET ST,,FREDERICK,MD,21701,Transitional Housing
Religious Coalition for Emergency Human Needs Inc.,27 DEGRANGE ST,,FREDERICK,MD,21701,Emergency Shelter
Micah Ecumenical Ministries,750 KINGS HWY,,FREDERICKSBRG,VA,22405,Emergency Shelter
Micah Ecumenical Ministries,1512 PRINCESS ANNE ST,,FREDERICKSBRG,VA,22401,Emergency Shelter
Thurman Brisben Center,471 CENTRAL RD,,FREDERICKSBRG,VA,22401,Emergency Shelter
Micah Ecumenical Ministries,1013 Princess Anne Street,,Fredericksburg,VA,22401,Rapid Re-Housing
Loisann's Hope House,902 Lafayette Blvd,,Fredericksburg,VA,22401,Emergency Shelter
Micah Ecumenical Ministries,1013 Princess Anne St,,Fredericksburg,VA,22401,Rapid Re-Housing
Ten Thousand Helpers,# 301 Hospital Street,,Frederiksted,VI,840,Transitional Housing
COI1,450 Temple Street,,Fredonia,NY,14063,Permanent Supportive Housing
DC Housing Authority,930 Randolph St NW,,Washington,DC,20011,Permanent Supportive Housing
Housing Up,935 Kennedy St NW,,Washington,DC,20011,Permanent Supportive Housing
DC Housing Authority,1500 Meridian Place NW,,Washington,DC,20010,Permanent Supportive Housing
DC Housing Authority,1125 Spring Road NW,,Washington,DC,20010,Permanent Supportive Housing
DC Housing Authority,800 Southern Ave SE,,Washington,DC,20032,Permanent Supportive Housing
DC Housing Authority,401 Anacostia Rd SE,,Washington,DC,20019,Permanent Supportive Housing
DC Housing Authority,166 Kenilworth Ave NE,,Washington,DC,20019,Permanent Supportive Housing
DC Housing Authority,4811 North Capitol St NE,,Washington,DC,20011,Permanent Supportive Housing
DC Housing Authority,410 Cedar St NW,,Washington,DC,20012,Permanent Supportive Housing
DC Housing Authority,1322 Main Dr NW,,Washington,DC,20012,Permanent Supportive Housing
DC Housing Authority,3500 East Capitol St NE,,Washington,DC,20019,Permanent Supportive Housing
DC Housing Authority,2442 Martin Luther King Jr Ave SE,,Washington,DC,20020,Permanent Supportive Housing
DC Housing Authority,218 Vine St NW,,Washington,DC,20012,Permanent Supportive Housing
DC Housing Authority,17 Mississippi Ave SE,,Washington,DC,20032,Permanent Supportive Housing
