,organization name,address1,city,state,zip,servicesummary,hours,website
23,"24/7 Gateway, LLC",275 Pryor St,Atlanta,GA,30303.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: 9:00AM–5:00PM Sunday: Open 24 hours ,http://www.gatewayctr.org/
24,"24/7 Gateway, LLC",275 Pryor St Sw,Atlanta,GA,30303.0,"Emergency Shelter, Transitional Housing",Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: 9:00AM–5:00PM Sunday: Open 24 hours ,http://www.gatewayctr.org/
25,"24/7 Gateway, LLC",275 Pryor Street,Atlanta,GA,30303.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: 9:00AM–5:00PM Sunday: Open 24 hours ,http://www.gatewayctr.org/
26,"24/7 Gateway, LLC",275 Pryor Street Sw,Atlanta,GA,30303.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: 9:00AM–5:00PM Sunday: Open 24 hours ,http://www.gatewayctr.org/
27,3 Keys,1216 Murphy Ave,,GA,30310.0,Permanent Supportive Housing,,
28,3 Keys,1296 Murphy Ave Sw,Atlanta,GA,30310.0,Permanent Supportive Housing,,
29,3 Keys,16 William Holmes Borders Dr Se,Atlanta,GA,30312.0,Permanent Supportive Housing,,
30,3 Keys,2280 Campbellton Rd,Atlanta,GA,30311.0,Permanent Supportive Housing,,
31,3 Keys,2280 Campbellton Road,Atlanta,GA,30311.0,Permanent Supportive Housing,,
32,3 Keys,234 Memorial Dr Sw,Atlanta,GA,30303.0,Permanent Supportive Housing,Monday: 8:00AM–11:00PM Tuesday: 8:00AM–11:00PM Wednesday: 8:00AM–11:00PM Thursday: 8:00AM–11:00PM Friday: 8:00AM–11:00PM Saturday: 8:00AM–11:00PM Sunday: 8:00AM–11:00PM ,
33,3 Keys,265 Kirkwood Rd Ne,Atlanta,GA,30317.0,Permanent Supportive Housing,,
34,3 Keys (Project Interconnections),2198 Dresden Dr,Chamblee,GA,30341.0,Permanent Supportive Housing,,
35,360 Youth Services,120 Testa Drive,Naperville,IL,60540.0,Transitional Housing,,
36,360 Youth Services,1509 Jefferson,Naperville,IL,60540.0,Transitional Housing,,
37,360 Youth Services,1509 W Jefferson Ave,Naperville,IL,60540.0,Transitional Housing,,
38,360 Youth Services,1513 Jefferson,Naperville,IL,60540.0,Transitional Housing,,
39,360 Youth Services,1513 W Jefferson Ave,Naperville,IL,60540.0,Transitional Housing,,
40,360 Youth Services,2950 Burlington Ave,Lisle,IL,60532.0,Emergency Shelter,,http://360youthservices.org/
41,360 Youth Services,,,IL,60540.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.360youthservices.org/
42,"3e Restoration, Inc.",5437 Richmond Rd,Williamsburg,VA,23188.0,Emergency Shelter,,
43,4th Street Clinic,409 W 400 S,,UT,84101.0,Emergency Shelter,,
44,5Cities Homeless Coalition,1935 Newport Ave,Grover Beach,CA,93433.0,Emergency Shelter,,
45,5Cities Homeless Coalition,,,CA,93433.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 11:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.5chc.org/
46,7hills Homeless Center,1031 N. College Ave,,AR,72701.0,Rapid Re-Housing,,
47,7hills Homeless Center,792 South Seven Hills Court,Fayetteville,AR,72701.0,Permanent Supportive Housing,,
48,7hills Homeless Center,828 Seven Hills Ct,Fayetteville,AR,72701.0,Transitional Housing,,
49,"820 River St, Inc.",9 St Joseph'S Terrace,Albany,NY,12210.0,Transitional Housing,,
50,90 Works,2944 Pennsylvania Ave,Marianna,FL,32448.0,Rapid Re-Housing,,
51,90Works,115 Gregory Square,Pensacola,FL,32502.0,Permanent Supportive Housing,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,http://www.90works.org/
52,90Works,,Albany,GA,31701.0,Rapid Re-Housing,,
53,90Works,,,FL,32502.0,"Rapid Re-Housing, Emergency Shelter",Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,http://www.90works.org/
54,99? For 1 Church,123 Big Sink Road,Versailles,KY,40383.0,Emergency Shelter,,
55,A & R,675 New St,Uniondale,NY,11553.0,Emergency Shelter,,
56,A & R,9 Hillside Ave,Freeport,NY,11520.0,Emergency Shelter,,
57,A Brighter Day Recuperative Care LLC,1590 Rosecrans Ave.,Manhattan Beach,CA,90266.0,Emergency Shelter,,
58,A Caring Safe Place,1804 Carr St,Houston,TX,77026.0,Transitional Housing,,https://acaringsafeplace.org/
59,A Caring Safe Place,2417 Glasgow St,Houston,TX,77026.0,Permanent Supportive Housing,,
60,A Community of Friends,12612 S. Wilmington Ave.,Compton,CA,90222.0,Permanent Supportive Housing,,
61,A Community of Friends,14731 Rayen St.,Panorama City,CA,91402.0,Permanent Supportive Housing,,http://www.eahhousing.org/
62,A Community of Friends,15320 Rayen St.,North Hills,CA,91343.0,Permanent Supportive Housing,,
63,A Community of Friends,15532 Nordhoff St.,North Hills,CA,91343.0,Permanent Supportive Housing,,
64,A Little Bit of Heaven,1607 W Howard St. Floor #3,Chicago,IL,60657.0,Emergency Shelter,Monday: Open 24 hours Tuesday: Open 24 hours Wednesday: Open 24 hours Thursday: Open 24 hours Friday: Open 24 hours Saturday: Open 24 hours Sunday: Open 24 hours ,https://www.alboh.org/
65,A New Entry,1915 E Martin Luther King Jr Blvd,Austin,TX,78702.0,"Short Term Housing, Emergency Shelter",,
66,A New Entry,6633 E Highway 290 Ste 212,Austin,TX,78723.0,"Short Term Housing, Emergency Shelter",,
67,A New Leaf,2245 W Main St,Mesa,AZ,85201.0,"Emergency Shelter, Other Permanent Housing, Permanent Supportive Housing",Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://www.turnanewleaf.org/services/housing-and-shelter/la-mesita-family-homeless-shelter/
68,A New Leaf,2345 N Country Club Dr,Mesa,AZ,85201.0,Emergency Shelter,Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.turnanewleaf.org/services/housing-and-shelter/east-valley-mens-center/
69,A New Leaf,5850 W Glendale Ave,Glendale,AZ,85301.0,Rapid Re-Housing,,
70,A New Leaf,Confidential Location,Glendale,AZ,85301.0,"Emergency Shelter, Transitional Housing",Monday: 8:00AM–7:00PM Tuesday: 8:00AM–7:00PM Wednesday: 8:00AM–7:00PM Thursday: 8:00AM–7:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,https://www.turnanewleaf.org/services/health-and-wellness/west-valley-family-care-clinic/
71,A New Leaf,Confidential Location,Mesa,AZ,85203.0,Emergency Shelter,Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ,http://www.turnanewleaf.org/
72,A New Leaf,,,AZ,85301.0,Rapid Re-Housing,,
73,A Partnership in Housing,,,PA,16749.0,Rapid Re-Housing,,https://housingpartnershipcc.com/index.html
74,A Place For Us Ministries,302 Mill Road North,Abbeville,SC,29620.0,Transitional Housing,,
75,A Place for You,220 3Rd Ave Se,Pine City,MN,55063.0,Emergency Shelter,Monday: 6:00AM–10:00PM Tuesday: 6:00AM–10:00PM Wednesday: 6:00AM–10:00PM Thursday: 6:00AM–10:00PM Friday: 6:00AM–10:00PM Saturday: 6:00AM–10:00PM Sunday: 6:00AM–10:00PM ,http://www.apfy.org/
76,A Safe Haven,1801 S Wabash,Chicago,IL,60616.0,Permanent Supportive Housing,,
77,A Safe Haven,2750 West Roosevelt Road,Chicago,IL,60608.0,"Emergency Shelter, Transitional Housing",Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.asafehaven.org/
78,A Safe Haven,3857 West Polk Street,Chicago,IL,60608.0,Transitional Housing,,
79,A Safe Haven,"60619, 60637, 60649",Chicago,IL,60608.0,Emergency Shelter,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.asafehaven.org/
80,A Safe Haven,618 S Wabash,Chicago,IL,60605.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.asafehaven.org/
81,A Safe Haven,8025 S. Honore Street,Chicago,IL,60620.0,Rapid Re-Housing,,
82,A-HOME,39 Mill River Rd,Chappaqua,NY,10514.0,Permanent Supportive Housing,,
83,A.B.C.D.,,Malden,MA,2148.0,Rapid Re-Housing,,https://bostonabcd.org/service/head-start-childrens-services/
84,A.L.I.V.E. Inc.,,Steubenville,OH,43952.0,Emergency Shelter,Monday: 12:00AM–12:00PM Tuesday: 12:00AM–12:00PM Wednesday: 12:00AM–12:00PM Thursday: 12:00AM–12:00PM Friday: 12:00AM–12:00PM Saturday: 12:00AM–12:00PM Sunday: 12:00AM–12:00PM ,http://www.aliveshelter.org/
85,ABCCM,1329 Tunnel Rd,Asheville,NC,28805.0,"Emergency Shelter, Transitional Housing, Other Permanent Housing",,http://www.abccm.org/veterans-restoration-quarters/
86,ABCCM,1914 Smoky Park Hwy,Candler,NC,28715.0,Rapid Re-Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.abccm.org/
87,ABCCM,20 Twentieth St.,Asheville,NC,28806.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.abccm.org/
88,ABCCM,30 Cumberland Ave,Asheville,NC,28801.0,"Rapid Re-Housing, Emergency Shelter, Transitional Housing",,
89,ABCCM,,,NC,28801.0,Rapid Re-Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,https://www.abccm.org/crisis/
90,ABRI - Homes for the Brave,655 Park Ave,Bridgeport,CT,6604.0,Permanent Supportive Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.homesforthebrave.org/
91,ABRI - Homes for the Brave,655 Park Avenue,Bridgeport,CT,6604.0,"Permanent Supportive Housing, Transitional Housing",Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.homesforthebrave.org/
92,ACCAP,322 S Second St.,Blaine,MN,55443.0,Other Permanent Housing,,
93,ACCESS,1090 Woodrow Ln,Medford,OR,97504.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: Closed Saturday: Closed Sunday: Closed ,http://www.accesshelps.org/
94,ACCESS,3630 Aviation Way,Medford,OR,97504.0,Rapid Re-Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: Closed Saturday: Closed Sunday: Closed ,http://www.accesshelps.org/
95,ACCESS,,,OR,97501.0,Permanent Supportive Housing,Monday: 9:30AM–6:30PM Tuesday: 9:30AM–6:30PM Wednesday: 9:30AM–6:30PM Thursday: 9:30AM–6:30PM Friday: 9:30AM–6:30PM Saturday: 9:00AM–5:00PM Sunday: 10:00AM–4:00PM ,
96,ACCESS,,,OR,97504.0,Rapid Re-Housing,Monday: 9:30AM–6:30PM Tuesday: 9:30AM–6:30PM Wednesday: 9:30AM–6:30PM Thursday: 9:30AM–6:30PM Friday: 9:30AM–6:30PM Saturday: 9:00AM–5:00PM Sunday: 10:00AM–4:00PM ,
97,ACCESS Inc.,230 W Market St,Akron,OH,44303.0,Emergency Shelter,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.access-shelter.org/
98,ACCESS Inc.,245 S High St,Akron,OH,44308.0,Transitional Housing,,
99,ACCORD Corp.,70 Main St,Almond,NY,14804.0,Transitional Housing,,
100,ACCORD Corp.,84 Schuyler St,Belmont,NY,14813.0,Rapid Re-Housing,Monday: 8:00AM–3:30PM Tuesday: 8:00AM–3:30PM Wednesday: 8:00AM–3:30PM Thursday: 8:00AM–3:30PM Friday: 8:00AM–3:30PM Saturday: Closed Sunday: Closed ,http://www.accordcorp.org/
101,ACE Opportunities - Female,6011 High St,New Prt Rchy,FL,34653.0,"Transitional Housing, Rapid Re-Housing",,http://www.aceopportunities.org/
102,ACE Opportunities - Male,5722 Berlin Dr,Port Richey,FL,34668.0,"Transitional Housing, Rapid Re-Housing",,
104,ACHIEVE Human Services,2573 Arizona Ave. Suite 1,Yuma,AZ,85364.0,Permanent Supportive Housing,,
105,ACHIEVE Human Services,2573 S Arizona Ave,Yuma,AZ,85364.0,Permanent Supportive Housing,,
106,ACR Health,617 W Genesee St,Syracuse,NY,13204.0,Rapid Re-Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.acrhealth.org/
107,ACR Health,627 W Genesee St,Syracuse,NY,13204.0,Permanent Supportive Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.acrhealth.org/
108,ACR Health,627 West Genessee Street,Syracuse,NY,13204.0,Permanent Supportive Housing,Monday: 8:30AM–4:30PM Tuesday: 8:30AM–4:30PM Wednesday: 8:30AM–4:30PM Thursday: 8:30AM–4:30PM Friday: 8:30AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.acrhealth.org/
109,ACTION Housing,523 Sinclair St,Mckeesport,PA,15132.0,"Transitional Housing, Emergency Shelter",Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ,http://www.actionhousing.org/
110,ACTION Housing,611 William Penn Pl,Pittsburgh,PA,15219.0,"Rapid Re-Housing, Permanent Supportive Housing",Monday: 8:00AM–4:00PM Tuesday: 8:00AM–4:00PM Wednesday: 8:00AM–4:00PM Thursday: 8:00AM–4:00PM Friday: 8:00AM–4:00PM Saturday: Closed Sunday: Closed ,http://www.actionhousing.org/
111,ACTION Housing,723 Braddock Ave,Braddock,PA,15104.0,Permanent Supportive Housing,,
112,ACTS Christian Transitional Services,1428 N. 28Th Street,Philadelphia,PA,19121.0,Emergency Shelter,,
113,ACTS Christian Transitional Services,1429 N Newkirk Street,Philadelphia,PA,19121.0,Emergency Shelter,,
114,ACTS Christian Transitional Services,2813 Master Street,Philadelphia,PA,19121.0,Emergency Shelter,,
115,ADD/ADHD Housing Group,12 Hopatcong Ave,W Hempstead,NY,11552.0,Emergency Shelter,,
116,ADD/ADHD Housing Group,53 N Long Beach Ave,Freeport,NY,11520.0,Emergency Shelter,,
117,ADD/ADHD Housing Group,62 Randall Ave,Freeport,NY,11520.0,Emergency Shelter,,
118,ADD/ADHD Housing Group,794 Woodfield Rd,W Hempstead,NY,11552.0,Emergency Shelter,,
119,ADVOCAP Inc.,181 E North Water St,Neenah,WI,54956.0,Rapid Re-Housing,,http://www.advocap.org/
120,ADVOCAP Inc.,181 N Water St # 210,Neenah,WI,54956.0,Rapid Re-Housing,,http://www.advocap.org/
121,ADVOCAP Inc.,19 W 1St St,Fond Du Lac,WI,54935.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.advocap.org/
122,ADVOCAP Inc.,19 W 1St St,Fond Du Lac,WI,54936.0,Rapid Re-Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.advocap.org/
123,ADVOCAP Inc.,237 Broadway,Berlin,WI,54923.0,Emergency Shelter,,http://www.advocap.org/
124,ADVOCAP Inc.,2929 Harrison St,Oshkosh,WI,54901.0,"Transitional Housing, Rapid Re-Housing",Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.advocap.org/
125,ADVOCAP Inc.,,,WI,54935.0,Transitional Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–4:30PM Saturday: Closed Sunday: Closed ,http://www.advocap.org/
126,AFC-Community Development Corporation,1316 S. Spaulding Ave,Chicago,IL,60623.0,Permanent Supportive Housing,,https://www.upholdings.net/spaulding
127,AHL,255 Boston Street,Lynn,MA,1902.0,Permanent Supportive Housing,,
128,AIDS Action Committee,820 Massachusetts Ave,Cambridge,MA,2139.0,Permanent Supportive Housing,,
129,AIDS Action Committee,,,MA,2119.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.aac.org/
130,AIDS Alabama,2112 Avenue H,Ensley,AL,35212.0,Emergency Shelter,,
131,AIDS Alabama,3517 7Th Ave S,Birmingham,AL,35222.0,Rapid Re-Housing,Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.aidsalabama.org/
132,AIDS Alabama,3521 7Th Ave S,Birmingham,AL,35222.0,"Rapid Re-Housing, Permanent Supportive Housing",Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.aidsalabama.org/
133,AIDS Alabama,3527 7Th Ave S,Birmingham,AL,35222.0,Rapid Re-Housing,Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.aidsalabama.org/
134,AIDS Alabama,3529 7Th Ave S,Birmingham,AL,35222.0,"Permanent Supportive Housing, Transitional Housing",Monday: 9:00AM–4:00PM Tuesday: 9:00AM–4:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.aidsalabama.org/
135,AIDS Alabama South,3800 Michael Blvd,Mobile,AL,36609.0,Transitional Housing,Monday: 9:00AM–4:00PM Tuesday: 11:00AM–7:00PM Wednesday: 9:00AM–4:00PM Thursday: 9:00AM–4:00PM Friday: 9:00AM–4:00PM Saturday: Closed Sunday: Closed ,https://www.aidsalabamasouth.org/
136,"AIDS Athens, Inc.",195 Georgia Ave,Winder,GA,30680.0,Permanent Supportive Housing,,
137,AIDS Foundation Houston,2222 Austin St,Houston,TX,77002.0,Permanent Supportive Housing,,
138,AIDS Foundation Houston,312 W Alabama St,Houston,TX,77006.0,Permanent Supportive Housing,,
139,AIDS Foundation Houston,317 E Burress St,Houston,TX,77022.0,Permanent Supportive Housing,,
140,AIDS Foundation Houston,8751 Broadway St,Houston,TX,77061.0,Permanent Supportive Housing,,
141,AIDS Foundation Houston,,,TX,77074.0,Permanent Supportive Housing,,
142,AIDS Foundation of Chicago,200 W. Jackson,Chicago,IL,60606.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.aidschicago.org/
143,AIDS Foundation of Chicago,2750 West Roosevelt Rd,Chicago,IL,60608.0,Permanent Supportive Housing,Monday: 8:00AM–5:00PM Tuesday: 8:00AM–5:00PM Wednesday: 8:00AM–5:00PM Thursday: 8:00AM–5:00PM Friday: 8:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.asafehaven.org/
144,AIDS Foundation of Chicago,600 W. Fullerton Pkwy,Chicago,IL,60614.0,Permanent Supportive Housing,,
145,AIDS Foundation of Chicago,,Chicago,IL,60606.0,Permanent Supportive Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.aidschicago.org/
146,AIDS Foundation of Chicago,,,IL,60606.0,Rapid Re-Housing,Monday: 9:00AM–5:00PM Tuesday: 9:00AM–5:00PM Wednesday: 9:00AM–5:00PM Thursday: 9:00AM–5:00PM Friday: 9:00AM–5:00PM Saturday: Closed Sunday: Closed ,http://www.aidschicago.org/
147,AIDS Help,1213 William St,Key West,FL,33040.0,Permanent Supportive Housing,,
148,AIDS Help,1215 Catherine St,Key West,FL,33040.0,Permanent Supportive Housing,,
149,AIDS Help,1341 Mccarthy Ln,Key West,FL,33040.0,Permanent Supportive Housing,,
150,AIDS Help,1711 Catherine St,Key West,FL,33040.0,Permanent Supportive Housing,,
151,AIDS Housing Association,301 N L St,Tacoma,WA,98403.0,Permanent Supportive Housing,,http://www.ahathomecare.org/
152,AIDS Interfaith Residential Services Inc.,1621 Druid Hill Ave,Baltimore,MD,21217.0,Transitional Housing,,
153,AIDS Interfaith Residential Services Inc.,1800 N Charles St,Baltimore,MD,21201.0,Permanent Supportive Housing,,
154,AIDS Interfaith Residential Services Inc.,1800 N. Charles St.,Baltimore,MD,21201.0,Permanent Supportive Housing,,
155,AIDS Interfaith Residential Services Inc.,2425 Lakeview Avenue,Baltimore,MD,21217.0,Permanent Supportive Housing,,
156,AIDS Interfaith Residential Services Inc.,3702 Cottage Ave,Baltimore,MD,21215.0,Permanent Supportive Housing,,
