Organization Name,address1,address2,city,State,zip,ServiceSummary
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Rapid Re-Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Rapid Re-Housing
Coastal Community Action Program (Grays Harbor),101 E Market St.,,Aberdeen,WA,98520,Other Permanent Housing
Union Gospel Mission of Grays Harbor,405 E Heron,,Aberdeen,WA,98520,Emergency Shelter
Union Gospel Mission of Grays Harbor,405 E Heron,,Aberdeen,WA,98520,Emergency Shelter
BCFS Health and Human Services- Abilene,202 VINE ST,,ABILENE,TX,79602,Transitional Housing
"Abilene Hope Haven, Inc.",801 S TREADAWAY BLVD,,ABILENE,TX,79602,Rapid Re-Housing
West Central Texas Regional Foundation,3702 LOOP 322,,ABILENE,TX,79602,Rapid Re-Housing
The Salvation Army of Abilene,1726 butternut,,Abilene,TX,79602,Emergency Shelter
"Abilene Hope Haven, Inc.",801 S TREADAWAY BLVD,,ABILENE,TX,79602,Emergency Shelter
People Inc.,1173 W MAIN ST,,ABINGDON,VA,24210,Rapid Re-Housing
People,1173 W MAIN ST,,ABINGDON,VA,24210,Permanent Supportive Housing
CSP-NJDCA,1147 N. New Road,,Absecon,NJ,8201,Permanent Supportive Housing
Department of Corrections Eastern Shore,23326 Front St,,Accomac,VA,23301,Emergency Shelter
Accomack-Northhampton Planning District Council,23372 FRONT ST,,ACCOMAC,VA,23301,Rapid Re-Housing
Mama T's Bread and Blessing,222 E 12th Street,,Ada,OK,74820,Emergency Shelter
Ada Homeless Services (formerly AACES),704 N. Oak Ave #8,,Ada,OK,74820,Emergency Shelter
Ada Homeless Services (formerly AACES),704 N. Oak Ave #8,,Ada,OK,74820,Rapid Re-Housing
Unity Point Counseling and Resource Center,901 W 18th Street,,Ada,OK,74820,Emergency Shelter
"Louison House, Inc.",395 OLD COLUMBIA ST,,ADAMS,MA,1220,Permanent Supportive Housing
"Louison House, Inc.",395 OLD COLUMBIA ST,,ADAMS,MA,1220,Transitional Housing
Catholic Charities Diocese of Joliet,,,Addison,IL,60101,Rapid Re-Housing
Catholic Charities Diocese of Joliet,,,Addison,IL,60101,Transitional Housing
Life Community Development,15815 Horizon Way,,Adelanto,CA,92301,Transitional Housing
People Encouraging People,1836 Metzerott Road,,Adelphi,MD,20783,Permanent Supportive Housing
People Encouraging People,1836 Metzerott Road,,Adelphi,MD,20783,Permanent Supportive Housing
Lenawee Emergency and Affordable Housing Corp. (LEAHC),408 TOLEDO ST,,ADRIAN,MI,49221,Emergency Shelter
Share The Warmth,427 W. Maumee St.,,Adrian,MI,49221,Emergency Shelter
Lenawee Emergency and Affordable Housing Corp. (LEAHC),601 Ormsby Street,,Adrian,MI,49221,Emergency Shelter
Lenawee Housing Development Coalition,223 N BROAD ST,,ADRIAN,MI,49221,Permanent Supportive Housing
Neighbors of Hope,227 N BROAD ST,,ADRIAN,MI,49221,Emergency Shelter
Lenawee Emergency and Affordable Housing Corp. (LEAHC),1309 E Siena Heights Dr.,,Adrian,MI,49221,Transitional Housing
WestCare,222 Chalan Santo Papa,Reflection Center Suite 207,Agana,GU,96910,Rapid Re-Housing
Guam Behavioral Health and Wellness Center,108 Commisioner Charfauros Ct.,,Agat,GU,96928,Permanent Supportive Housing
Soldier On,702 South Westfield Rd,,Agawam,MA,1001,Permanent Supportive Housing
"Hogar MarÃ­a Del Carmen, Inc.",Bo. Asomante Carr. 417 Km 0.5,,Aguada,PR,603,Emergency Shelter
Casa del Peregrino Aguadilla Inc,27 Calle Mercedes Moreno,,Aguadilla,PR,603,Rapid Re-Housing
Casa del Peregrino Aguadilla Inc,27 Calle Mercedes Moreno,,Aguadilla,PR,603,Emergency Shelter
Casa del Peregrino Aguadilla Inc,27 Calle Mercedes Moreno,,Aguadilla,PR,603,Emergency Shelter
Casa del Peregrino Aguadilla Inc,27 Calle Mercedes Moreno,,Aguadilla,PR,603,Transitional Housing
Municipio de Aguas Buenas,Rd 156 km 51,,Aguas Buenas,PR,703,Rapid Re-Housing
Baptist Children's Home (Hertford),418 Menolat St. John Rd.,,Ahoskie,NC,27910,Transitional Housing
Women in Need,98-939 MOANALUA RD,,AIEA,HI,96701,Transitional Housing
Women in Need,99-751 NAHIOLEA ST,,AIEA,HI,96701,Transitional Housing
The Salvation of Army Aiken,604 PARK AVE SE,,AIKEN,SC,29801,Emergency Shelter
Commonbond Communities,610 Air Park Drive,,Aitkin,MN,56431,Other Permanent Housing
ANKA Akron Veterans Program,,,Akron,MI,48701,Other Permanent Housing
Community Health Center,838 Coburn St,,Akron,OH,44311,Transitional Housing
Community Health Center,680 E MARKET ST STE 307,,AKRON,OH,44304,Transitional Housing
Haven of Rest Ministries,24 N PROSPECT ST,,AKRON,OH,44304,Emergency Shelter
Haven of Rest Ministries,175 E MARKET ST,,AKRON,OH,44308,Emergency Shelter
Haven of Rest Ministries,175 E MARKET ST,,AKRON,OH,44308,Transitional Housing
Haven of Rest Ministries,24 N PROSPECT ST,,AKRON,OH,44304,Emergency Shelter
United Way of Summit County (UWSC),703 S MAIN ST,,AKRON,OH,44311,Rapid Re-Housing
H.M. Life Opportunity Services,1815 W MARKET ST STE 301,,AKRON,OH,44313,Permanent Supportive Housing
H.M. Life Opportunity Services,680 E MARKET ST STE 307,,AKRON,OH,44304,Permanent Supportive Housing
Community Support Services,150 CROSS ST,,AKRON,OH,44311,Rapid Re-Housing
Family & Community Services,1121 EXETER RD,,AKRON,OH,44306,Transitional Housing
Family & Community Services,617 1/2 CARROLL ST,,AKRON,OH,44304,Emergency Shelter
Community Health Center,697 E WATERLOO RD,,AKRON,OH,44306,Permanent Supportive Housing
Community Health Center,680 E MARKET ST STE 307,,AKRON,OH,44304,Permanent Supportive Housing
Community Health Center,680 E MARKET ST STE 307,,AKRON,OH,44304,Permanent Supportive Housing
Community Health Center,680 E MARKET ST STE 307,,AKRON,OH,44304,Permanent Supportive Housing
Community Health Center,469 SANDHURST RD,,AKRON,OH,44333,Permanent Supportive Housing
Community Health Center,1221 LEESER AVE,,AKRON,OH,44314,Permanent Supportive Housing
Community Health Center,680 E MARKET ST STE 307,,AKRON,OH,44304,Transitional Housing
North Coast Community Homes,322 E SOUTH ST,,AKRON,OH,44311,Permanent Supportive Housing
North Coast Community Homes,743 E WATERLOO RD,,AKRON,OH,44306,Permanent Supportive Housing
Tarry House,4635 MANCHESTER RD,,AKRON,OH,44319,Emergency Shelter
Family Promise,111 E VORIS ST,,AKRON,OH,44311,Emergency Shelter
Legacy III,682 E BUCHTEL AVE,,AKRON,OH,44304,Transitional Housing
Legacy III,682 E BUCHTEL AVE,,AKRON,OH,44304,Transitional Housing
Legacy III,733 W MARKET ST STE B5A,,AKRON,OH,44303,Permanent Supportive Housing
Legacy III,733 W MARKET ST STE B5A,,AKRON,OH,44303,Permanent Supportive Housing
Community AIDS Network,759 W Market St.,,Akron,OH,44309,Rapid Re-Housing
Oriana House,885 E BUCHTEL AVE,,AKRON,OH,44305,Permanent Supportive Housing
Community Support Services,158 W CEDAR ST,,AKRON,OH,44307,Short Term Housing
Community Support Services,150 CROSS ST,,AKRON,OH,44311,Short Term Housing
Community Support Services,150 Cross St.,,Akron,OH,44311,Permanent Supportive Housing
Community Support Services,150 CROSS ST,,AKRON,OH,44311,Transitional Housing
Community Support Services,1241 BROWNSTONE AVE,,AKRON,OH,44310,Permanent Supportive Housing
Community Support Services,1267 BROWNSTONE AVE,,AKRON,OH,44310,Permanent Supportive Housing
Community Support Services,150 Cross St.,,Akron,OH,44311,Permanent Supportive Housing
Community Support Services,680 E MARKET ST STE 307,,AKRON,OH,44304,Permanent Supportive Housing
Community AIDS Network,1950 MCTAGGART DR,,AKRON,OH,44320,Permanent Supportive Housing
Community AIDS Network,895 N MAIN ST,,AKRON,OH,44310,Rapid Re-Housing
Harmony House,264 S ARLINGTON ST,,AKRON,OH,44306,Transitional Housing
ACCESS Inc.,245 S HIGH ST,,AKRON,OH,44308,Transitional Housing
ACCESS Inc.,230 W MARKET ST,,AKRON,OH,44303,Emergency Shelter
Akron MHA,100 W CEDAR ST,,AKRON,OH,44307,Permanent Supportive Housing
Akron Metropolitan Housing Authority - Community Support Services,100 W CEDAR ST,,AKRON,OH,44307,Permanent Supportive Housing
Akron MHA,100 W CEDAR ST,,AKRON,OH,44307,Permanent Supportive Housing
Akron Metropolitan Housing Authority - Community AIDS Network,100 W CEDAR ST,,AKRON,OH,44307,Permanent Supportive Housing
HM Housing Development Corp.,3250 W. Market St. #204,,Akron,OH,44333,Permanent Supportive Housing
HM Housing Development Corp.,3250 W. Market St. #204,,Akron,OH,44333,Permanent Supportive Housing
Mohawk Indian Housing,188 MCGEE RD,,AKWESASNE,NY,13655,Transitional Housing
Family Connection,2 WALKER RUN,,ALABASTER,AL,35007,Emergency Shelter
Family Connection,2 WALKER RUN,,ALABASTER,AL,35007,Emergency Shelter
Building Futures with Women & Children (BFWC),2500 BARBERS POINT RD,,ALAMEDA,CA,94501,Permanent Supportive Housing
APC,351 CORPUS CHRISTI RD,,ALAMEDA,CA,94501,Permanent Supportive Housing
APC,677 W RANGER AVE,,ALAMEDA,CA,94501,Permanent Supportive Housing
APC,677 W RANGER AVE,,ALAMEDA,CA,94501,Permanent Supportive Housing
APC,677 West Ranger Avenue,,ALAMEDA,CA,94501,Permanent Supportive Housing
APC,677 W RANGER AVE,,ALAMEDA,CA,94501,Permanent Supportive Housing
90Works,,,Albany,GA,31701,Rapid Re-Housing
"Open Arms, Inc.",,,Albany,GA,31705,Rapid Re-Housing
"Albany, City of",,,Albany,GA,31701,Rapid Re-Housing
Albany Area Community Service Board,,,ALBANY,GA,31707,Permanent Supportive Housing
Albany Area Community Service Board,601 11TH AVE,,ALBANY,GA,31701,Permanent Supportive Housing
"Open Arms, Inc.",420 Pine Avenue,,Albany,GA,31701,Transitional Housing
"Open Arms, Inc.",420 PINE AVE,,ALBANY,GA,31701,Transitional Housing
Salvation Army (Albany),304 W 2ND AVE,,ALBANY,GA,31701,Emergency Shelter
"Open Arms, Inc.",420 PINE AVE,,ALBANY,GA,31701,Emergency Shelter
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Veteran's Administration - Albany,113 Holland Ave,,Albany,NY,12208,Permanent Supportive Housing
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Veterans Administration,113 Holland Ave,,Albany,NY,12110,Permanent Supportive Housing
Equinox Inc.,35 S FERRY ST,,ALBANY,NY,12202,Transitional Housing
Interfaith Partnership for the Homeless,26 S SWAN ST,,ALBANY,NY,12210,Emergency Shelter
Rehabilitation Support Services,314 Central Ave,,Albany,NY,12206,Permanent Supportive Housing
Homeless & Travelers Aid Society,138 CENTRAL AVE,,ALBANY,NY,12206,Permanent Supportive Housing
Soldier On,760 Heritage Lane,,Albany,NY,12211,Rapid Re-Housing
Interfaith Partnership for the Homeless,176 SHERIDAN AVE,,ALBANY,NY,12210,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",278 CLINTON AVE,,ALBANY,NY,12210,Permanent Supportive Housing
"Albany Damien Center, Inc.",728 MADISON AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Catholic Charities,35 N MAIN AVE,,ALBANY,NY,12203,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",29 WALTER ST,,ALBANY,NY,12204,Permanent Supportive Housing
Albany Housing Authority,200 South Pearl Street,,Albany,NY,12210,Permanent Supportive Housing
Equinox Inc.,Street,,Albany,NY,12210,Emergency Shelter
Support Ministries,22 DELAWARE TER,,ALBANY,NY,12209,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",180 1ST ST,,ALBANY,NY,12210,Transitional Housing
Trinity Alliance,26 TRINITY PL,,ALBANY,NY,12202,Permanent Supportive Housing
Catholic Charities,12 ST JOSEPHS TER,,ALBANY,NY,12210,Transitional Housing
"Albany Housing Coalition, Inc.",180 1ST ST,,ALBANY,NY,12210,Transitional Housing
Catholic Charities,115 GRAND ST,,ALBANY,NY,12202,Emergency Shelter
St. Catherine's Center for Children,40 N MAIN AVE,,ALBANY,NY,12203,Rapid Re-Housing
Trinity Alliance,84 2ND ST,,ALBANY,NY,12210,Permanent Supportive Housing
Legal Aid Society of Northeastern New York,95 CENTRAL AVE,,ALBANY,NY,12206,Rapid Re-Housing
Equinox Inc.,35 S FERRY ST,,ALBANY,NY,12202,Rapid Re-Housing
Albany County Department of Mental Health,175 GREEN ST,,ALBANY,NY,12202,Emergency Shelter
Capital Area Peer Services,100 CLINTON AVE,,ALBANY,NY,12210,Permanent Supportive Housing
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Rapid Re-Housing
Capital Area Council of Churches,181 WESTERN AVE,,ALBANY,NY,12203,Emergency Shelter
Homeless Action Committee,393 N PEARL ST,,ALBANY,NY,12207,Permanent Supportive Housing
St. Peter's Addiction Recovery Center,64 Second Ave,,Albany,NY,12202,Transitional Housing
Hope House Inc.,573 LIVINGSTON AVE,,ALBANY,NY,12206,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",280 CLINTON AVE,,ALBANY,NY,12210,Transitional Housing
"Albany Housing Coalition, Inc.",180 1ST ST,,ALBANY,NY,12210,Short Term Housing
"820 River St, Inc.",9 St Joseph's Terrace,,Albany,NY,12210,Transitional Housing
St. Peter's Addiction Recovery Center,56 MORTON AVE,,ALBANY,NY,12202,Emergency Shelter
St. Catherine's Center for Children,195 WASHINGTON AVENUE EXT,,ALBANY,NY,12205,Emergency Shelter
Interfaith Partnership for the Homeless,176 SHERIDAN AVE,,ALBANY,NY,12210,Emergency Shelter
Catholic Charities,12 ST JOSEPHS TER,,ALBANY,NY,12210,Emergency Shelter
Capital City Rescue Mission,259 S PEARL ST,,ALBANY,NY,12202,Transitional Housing
Capital City Rescue Mission,259 S PEARL ST,,ALBANY,NY,12202,Transitional Housing
Capital City Rescue Mission,259 S PEARL ST,,ALBANY,NY,12202,Emergency Shelter
Capital City Rescue Mission,259 S PEARL ST,,ALBANY,NY,12202,Emergency Shelter
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Support Ministries,28 DELAWARE TER,,ALBANY,NY,12209,Transitional Housing
Support Ministries,28 DELAWARE AVE,,ALBANY,NY,12210,Permanent Supportive Housing
St. Peter's Addiction Recovery Center,64 2ND AVE,,ALBANY,NY,12202,Permanent Supportive Housing
St. Catherine's Center for Children,40 N MAIN AVE,,ALBANY,NY,12203,Rapid Re-Housing
St. Catherine's Center for Children,40 N MAIN AVE,,ALBANY,NY,12203,Permanent Supportive Housing
Homeless & Travelers Aid Society,138 CENTRAL AVE,,ALBANY,NY,12206,Permanent Supportive Housing
Albany Housing Authority,200 South Pearl Street,,Albany,NY,12202,Permanent Supportive Housing
Interfaith Partnership for the Homeless,175 SHERIDAN AVE,,ALBANY,NY,12210,Permanent Supportive Housing
Interfaith Partnership for the Homeless,176 SHERIDAN AVE,,ALBANY,NY,12210,Permanent Supportive Housing
Homeless & Travelers Aid Society,138 CENTRAL AVE,,ALBANY,NY,12206,Rapid Re-Housing
Homeless & Travelers Aid Society,138 CENTRAL AVE,,ALBANY,NY,12208,Rapid Re-Housing
Catholic Charities,504 CENTRAL AVE,,ALBANY,NY,12203,Permanent Supportive Housing
Catholic Charities,29 MAIDEN LN,,ALBANY,NY,12207,Permanent Supportive Housing
Catholic Charities,41 N MAIN AVE,,ALBANY,NY,12206,Permanent Supportive Housing
Veterans Administration,278 CLINTON AVE,,ALBANY,NY,12210,Rapid Re-Housing
Albany Housing Authority,200 S PEARL ST,,ALBANY,NY,12202,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",278 Clinton Ave,,Albany,NY,12210,Rapid Re-Housing
"Albany Damien Center, Inc.",728 MADISON AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Albany Housing Authority,200 South Pearl Street,,Albany,NY,12202,Permanent Supportive Housing
Department of Social Services motel vouchers,575 Broadway,,Albany,NY,12204,Emergency Shelter
Albany Housing Authority,35 DOVE ST,,ALBANY,NY,12210,Permanent Supportive Housing
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Department of Social Services motel vouchers,162 WASHINGTON AVE,,ALBANY,NY,12210,Emergency Shelter
St. Catherine's Center for Children,40 N MAIN AVE,,ALBANY,NY,12203,Permanent Supportive Housing
CARES Inc.,200 HENRY JOHNSON BLVD,,ALBANY,NY,12210,Permanent Supportive Housing
"Albany Housing Coalition, Inc.",334 CLINTON AVE,,ALBANY,NY,12206,Permanent Supportive Housing
Albany Housing Authority,200 S PEARL ST,,ALBANY,NY,12202,Permanent Supportive Housing
St. Catherine's Center for Children,40 N MAIN AVE,,ALBANY,NY,12203,Permanent Supportive Housing
Veterans Administration,113 HOLLAND AVE,,ALBANY,NY,12208,Permanent Supportive Housing
Community Services Consortium  (3446) [ROCC],640 MAIN ST SE,,ALBANY,OR,97321,Emergency Shelter
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Emergency Shelter
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Rapid Re-Housing
Community Services Consortium  (3446) [ROCC],619 SE 9th St,,Albany,OR,97322,Emergency Shelter
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Other Permanent Housing
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Other Permanent Housing
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Rapid Re-Housing
Community Services Consortium  (3446) [ROCC],250 BROADALBIN ST SW STE 2A,,ALBANY,OR,97321,Rapid Re-Housing
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Rapid Re-Housing
Community Services Consortium  (3446) [ROCC],"250 Broadalbin St SW, Ste 2A",,Albany,OR,97321,Rapid Re-Housing
Homes of Hope (Stanly),1816B E MAIN ST,,ALBEMARLE,NC,28001,Transitional Housing
Homes of Hope (Stanly),510 S 1ST ST,,ALBEMARLE,NC,28001,Emergency Shelter
SEMCAC,2202 STEVENS ST,,ALBERT LEA,MN,56007,Emergency Shelter
The Salvation Army Northern Division,Albertville Meadows,10732 County Rd 37 NE,Albertville,MN,55301,Permanent Supportive Housing
"Noble House Ministries, Inc.",205 E HIGHLAND ST,,ALBION,IN,46701,Emergency Shelter
Orleans County Department of Social Services,14016 Route 31 West,,Albion,NY,14411,Emergency Shelter
Youth Development Inc.,1706 EL CENTRO FAMILIAR BLVD SW,,ALBUQUERQUE,NM,87105,Emergency Shelter
Youth Development Inc.,1706 EL CENTRO FAMILIAR BLVD SW,,ALBUQUERQUE,NM,87105,Emergency Shelter
Barrett Foundation,10300 CONSTITUTION AVE NE,,ALBUQUERQUE,NM,87112,Rapid Re-Housing
Barrett Foundation,10300 CONSTITUTION AVE NE,,ALBUQUERQUE,NM,87112,Permanent Supportive Housing
Heading Home,715 CANDELARIA RD NW,,ALBUQUERQUE,NM,87107,Emergency Shelter
Youth Development Inc.,6301 CENTRAL AVE NW,,ALBUQUERQUE,NM,87105,Transitional Housing
Transitional Living Services,5601 DOMINGO RD NE,,ALBUQUERQUE,NM,87108,Permanent Supportive Housing
Transitional Living Services,5601 DOMINGO RD NE,,ALBUQUERQUE,NM,87108,Permanent Supportive Housing
Supportive Housing Coalition of New Mexico,625 SILVER AVE SW,,ALBUQUERQUE,NM,87102,Permanent Supportive Housing
Supportive Housing Coalition of New Mexico,700 2ND ST NW,,ALBUQUERQUE,NM,87102,Permanent Supportive Housing
New Mexico Veterans Integration Center,13023 Central Ave SE,,Albuquerque,NM,87123,Transitional Housing
New Day Youth & Family Services,2820 RIDGECREST DR SE,,ALBUQUERQUE,NM,87108,Transitional Housing
New Day Youth & Family Services,2820 RIDGECREST DR SE,,ALBUQUERQUE,NM,87108,Emergency Shelter
New Day Youth & Family Services,2820 RIDGECREST DR SE,,ALBUQUERQUE,NM,87108,Emergency Shelter
HopeWorks,1201 3RD ST NW,,ALBUQUERQUE,NM,87102,Permanent Supportive Housing
HopeWorks,1201 3RD ST NW,,ALBUQUERQUE,NM,87102,Permanent Supportive Housing
HopeWorks,1201 3RD ST NW,,ALBUQUERQUE,NM,87102,Transitional Housing
HopeWorks,1201 3rd St. NW,,Albuquerque,NM,87125,Transitional Housing
HopeWorks,528 SAN PABLO ST SE,,ALBUQUERQUE,NM,87108,Transitional Housing
Heading Home,6500 LOS VOLCANES RD NW,,Albuquerque,NM,87121,Emergency Shelter
Heading Home,715 CANDELARIA RD NE,,ALBUQUERQUE,NM,87107,Emergency Shelter
Good Shepherd Center,218 IRON AVE SW,,ALBUQUERQUE,NM,87102,Emergency Shelter
Family Promise of Albuquerque,2801 LOMAS BLVD NE,,ALBUQUERQUE,NM,87106,Emergency Shelter
CLNKids,1500 WALTER ST SE,,ALBUQUERQUE,NM,87102,Rapid Re-Housing
CLNKids,1500 WALTER ST SE,,ALBUQUERQUE,NM,87102,Rapid Re-Housing
Central United Methodist Church,1000 EUBANK BLVD NE,,ALBUQUERQUE,NM,87112,Transitional Housing
Catholic Charities,2010 BRIDGE BLVD SW,,ALBUQUERQUE,NM,87105,Rapid Re-Housing
Casa Q,7509 EUCLID AVE NE,,ALBUQUERQUE,NM,87110,Transitional Housing
Barrett Foundation,10300 CONSTITUTION AVE NE,,ALBUQUERQUE,NM,87112,Permanent Supportive Housing
Barrett Foundation,10300 CONSTITUTION AVE NE,,ALBUQUERQUE,NM,87112,Emergency Shelter
Barrett Foundation,10300 CONSTITUTION AVE NE,,ALBUQUERQUE,NM,87112,Emergency Shelter
Albuquerque Health Care for the Homeless,1217 1ST ST NW,,ALBUQUERQUE,NM,87102,Permanent Supportive Housing
Albuquerque Health Care for the Homeless,1217 1ST ST NW,,ALBUQUERQUE,NM,87102,Emergency Shelter
NM VETERANS INTERGRATION CENTER,13023 CENTRAL AVE. SE,,ALBUQUERQUE,NM,87123,Emergency Shelter
Goodwill Industries of New Mexico,5000 SAN MATEO BLVD NE,,ALBUQUERQUE,NM,87109,Rapid Re-Housing
Joy Junction,4500 2ND ST SW,,ALBUQUERQUE,NM,87105,Emergency Shelter
NM VETERANS INTERGRATION CENTER,13023 CENTRAL AVE. SE,,ALBUQUERQUE,NM,87123,Rapid Re-Housing
Catholic Charities Sandoval,3301 CANDELARIA NE,,ALBUQUERQUE,NM,87107,Rapid Re-Housing
Catholic Charities Sandoval,3301 CANDELARIA RD NE,,ALBUQUERQUE,NM,87107,Rapid Re-Housing
Family Promise of Blount County,1633 LOUISVILLE RD,,ALCOA,TN,37701,Emergency Shelter
Bountiful Harvest Mission,216 W WASHINGTON ST,,ALEXANDRIA,IN,46001,Transitional Housing
Salvation Army,620 Beauregard,,Alexandria,LA,71301,Transitional Housing
Salvation Army,620 Beauregard,,Alexandria,LA,71301,Emergency Shelter
Salvation Army,620 Beauregard,,Alexandria,LA,71301,Emergency Shelter
Hope House of Central Louisiana,5115 S. MacArthur Dr.,,Alexandria,LA,71302,Emergency Shelter
Volunteers of America - Central Louisiana,3704 coliseum blvd,,alexandria,LA,71301,Rapid Re-Housing
Central Louisiana Coalition to Prevent Homelessness,425 BOLTON AVE,,ALEXANDRIA,LA,71301,Permanent Supportive Housing
Inner-city Revitalization Corporation,1902 Main Street,,Alexandria,LA,71301,Permanent Supportive Housing
VOA Central Louisiana 7138 - HUD Rapides,3704 Coliseum Blvd,,Alexandria,LA,71303,Permanent Supportive Housing
Volunteers of America - Central Louisiana,3704 Coliseum Blvd.,,Alexandria,LA,71303,Rapid Re-Housing
VOA Central Louisiana 7140 - New HUD Program,3704 Coliseum Blvd,,Alexandria,LA,71303,Permanent Supportive Housing
Hope House of Central Louisiana,5115 S. MacArthur Dr.,,Alexandria,LA,71302,Transitional Housing
Alexandria VA Medical Center,620 Beauregard St.,,Alexandria,LA,71301,Emergency Shelter
The Pentecostals of Alexandria,2817 Rapides Ave.,,Alexandria,LA,71301,Transitional Housing
The Pentecostals of Alexandria,2817 Rapides Ave.,,Alexandria,LA,71301,Transitional Housing
West Central MN Community Action,503 Hawthorne Street,,Alexandria,MN,56308,Emergency Shelter
West Central MN Community Action,"503 Hawthorne, Suite 45",,Alexandria,MN,56308,Rapid Re-Housing
West Central MN Community Action,94 RUNESTONE PL,,ALEXANDRIA,MN,56308,Transitional Housing
Carpenter's Shelter Inc.,5701-D Duke St.,,ALEXANDRIA,VA,22304,Emergency Shelter
"Volunteers of America, Chesapeake",1660 DUKE ST,,ALEXANDRIA,VA,22314,Rapid Re-Housing
Volunteers of America Chesapeake (VOAC),1660 Duke Street,,Alexandria,VA,22314,Rapid Re-Housing
New Hope Housing,3510 Lockheed Boulevard,,Alexandria,VA,22306,Emergency Shelter
FACETS,7994 Audubon Avenue,,Alexandria,VA,22306,Emergency Shelter
New Hope Housing,8220 Russell Road,,Alexandria,VA,22309,Emergency Shelter
PRS,3013 Kings Village Road,,Alexandria,VA,22306,Permanent Supportive Housing
PRS,2726 Sherwood Hall Lane,,Alexandria,VA,22306,Permanent Supportive Housing
Pathway Homes,2833 Fairhaven Avenue,,Alexandria,VA,22303,Permanent Supportive Housing
Pathway Homes,6140 Joust Lane,,Alexandria,VA,22315,Permanent Supportive Housing
New Hope Housing,3510 Lockheed Boulevard,,Alexandria,VA,22306,Emergency Shelter
